ID,MEMBER,"TRANSACTION TYPE","WALLET TYPE",VALUE,DESCRIPTION,DATE
1,9ice,EARNING,Cash,200,"Personal Discount Bonus","2024-10-25 21:47:34"
2,Worldbest,EARNING,Cash,5000,"Stockist Registration Commission","2024-10-25 21:40:33"
3,9ice,EARNING,Cash,37.5,"Indirect Referral Bonus From Adewole","2024-10-25 21:40:33"
4,Jahslove,EARNING,Cash,37.5,"Indirect Referral Bonus From Adewole","2024-10-25 21:40:33"
5,Akinde,EARNING,Cash,2625,"Direct Referral Bonus From Adewole","2024-10-25 21:40:33"
6,scentsbymimi,EARNING,Cash,37.5,"Indirect Referral Bonus From Adewole","2024-10-25 21:40:33"
7,Ronke,EARNING,Cash,225,"Indirect Referral Bonus From Adewole","2024-10-25 21:40:33"
8,Favour,EARNING,Cash,1000,"Team Bonus Earnings From Level 3 - Ime","2024-10-25 21:25:13"
9,Favour,EARNING,Cash,75,"Indirect Referral Bonus From Ime","2024-10-25 21:22:30"
10,Christiana03,EARNING,Cash,2625,"Direct Referral Bonus From Ime","2024-10-25 21:22:30"
11,BCM03,EARNING,Cash,37.5,"Indirect Referral Bonus From Ime","2024-10-25 21:22:30"
12,scentsbymimi,EARNING,Cash,75,"Indirect Referral Bonus From Ime","2024-10-25 21:22:30"
13,Christiana03,EARNING,Cash,225,"Indirect Referral Bonus From Ime","2024-10-25 21:22:30"
14,Kemsy,EARNING,Cash,37.5,"Indirect Referral Bonus From Ime","2024-10-25 21:22:30"
15,Flourishoasis,EARNING,Cash,75,"Indirect Referral Bonus From Ime","2024-10-25 21:22:30"
16,Christiana,EARNING,Cash,150,"Indirect Referral Bonus From Ime","2024-10-25 21:22:30"
17,naomistore,EARNING,Cash,3000,"Stockist Registration Commission","2024-10-25 21:22:30"
18,Worldbest,EARNING,Cash,37.5,"Indirect Referral Bonus From Ime","2024-10-25 21:22:30"
19,Madamchuks,EARNING,Cash,1200,"10% instant cash back on product purchased from Re-purchase store","2024-10-25 21:10:31"
20,Akinde,EARNING,Cash,600,"5% instant cash back on product purchased from Re-purchase store by Madamchuks","2024-10-25 21:10:31"
21,BCM1,EARNING,Cash,1000,"Team Bonus Earnings From Level 8 - AdoOne2","2024-10-25 14:00:42"
22,AdoOne,DEBIT,Cash,305,"Withdrawal Charges","2024-10-25 14:00:20"
23,AdoOne,DEBIT,Cash,5795,"Withdrawal Request","2024-10-25 14:00:20"
24,Sandiphina2,EARNING,Cash,800,"Team Bonus Earnings From Level 4 - AdoOne2","2024-10-25 14:00:10"
25,BCM1,EARNING,Cash,37.5,"Indirect Referral Bonus From AdoOne2","2024-10-25 13:58:02"
26,Sandiphina,EARNING,Cash,75,"Indirect Referral Bonus From AdoOne2","2024-10-25 13:58:02"
27,AdoOne,EARNING,Cash,2625,"Direct Referral Bonus From AdoOne2","2024-10-25 13:58:02"
28,Sandiphina,EARNING,Cash,3000,"Stockist Registration Commission","2024-10-25 13:58:02"
29,BCM5,EARNING,Cash,37.5,"Indirect Referral Bonus From AdoOne2","2024-10-25 13:58:02"
30,YASMINA_FUSION,EARNING,Cash,225,"Indirect Referral Bonus From AdoOne2","2024-10-25 13:58:02"
31,BCM2,EARNING,Cash,37.5,"Indirect Referral Bonus From AdoOne2","2024-10-25 13:58:02"
32,Pandinomart,EARNING,Cash,150,"Indirect Referral Bonus From AdoOne2","2024-10-25 13:58:02"
33,BCM1,EARNING,Cash,7500,"5% instant cash back on product purchased from Re-purchase store by Worldbest","2024-10-25 12:41:38"
34,Sandiphina,DEBIT,Cash,1700,"Withdrawal Charges","2024-10-25 11:41:21"
35,Sandiphina,DEBIT,Cash,32300,"Withdrawal Request","2024-10-25 11:41:21"
36,Sandiphina2,DEBIT,Cash,11400,"Withdrawal Request","2024-10-25 11:37:16"
37,Sandiphina2,DEBIT,Cash,600,"Withdrawal Charges","2024-10-25 11:37:16"
38,Sandiphina2,EARNING,Cash,1600,"Personal Discount Bonus","2024-10-25 11:33:19"
39,BCM1,EARNING,Cash,3500,"Team Bonus Earnings From Level 10 - Blessriches","2024-10-25 11:00:49"
40,Ochewealth,EARNING,Cash,2000,"Team Bonus Earnings From Level 4 - Blessriches","2024-10-25 11:00:09"
41,BCM5,EARNING,Cash,100,"Indirect Referral Bonus From Blessriches","2024-10-25 10:55:27"
42,BCM2,EARNING,Cash,100,"Indirect Referral Bonus From Blessriches","2024-10-25 10:55:27"
43,Sandiphina,EARNING,Cash,3000,"Stockist Registration Commission","2024-10-25 10:55:27"
44,Sandiphina,EARNING,Cash,100,"Indirect Referral Bonus From Blessriches","2024-10-25 10:55:27"
45,Ochewealth,EARNING,Cash,7000,"Direct Referral Bonus From Blessriches","2024-10-25 10:55:26"
46,AmazingMum,EARNING,Cash,600,"Indirect Referral Bonus From Blessriches","2024-10-25 10:55:26"
47,BCM1,EARNING,Cash,1000,"Team Bonus Earnings From Level 11 - GraciousRuth","2024-10-25 10:35:50"
48,Ochewealth,EARNING,Cash,600,"Team Bonus Earnings From Level 5 - GraciousRuth","2024-10-25 10:35:09"
49,Sandiphina,EARNING,Cash,3000,"Stockist Registration Commission","2024-10-25 10:30:43"
50,Jaymamms,EARNING,Cash,225,"Indirect Referral Bonus From GraciousRuth","2024-10-25 10:30:43"
51,Sandiphina,EARNING,Cash,37.5,"Indirect Referral Bonus From GraciousRuth","2024-10-25 10:30:43"
